customer no,Difference between Earliest Engagement and First Donation,First Contribution Amount,Donor Category
1012,35,0,Patron+
1226,0,0,Patron+
1406,113,0,Patron+
1948,227,0,Patron+
2335,4155,0,Patron+
2516,26,1000,Patron+
2712,152,1000,Patron+
2876,432,50,Patron+
2925,240,10,Patron+
3112,1381,10,Patron+
3295,2598,100,Patron+
3466,1246,0,Patron+
4630,122,25,Patron+
5192,136,1000,Patron+
7031,251,1750,Patron+
7192,49,100,Patron+
7272,1310,25,Patron+
9614,5,0,Patron+
10423,0,50,Patron+
10500,240,25,Patron+
12105,567,25,Patron+
13071,61,20,Patron+
13107,0,0,Patron+
13159,2602,2500,Patron+
13226,38,10,Patron+
13406,137,50,Patron+
18401,113,20,Patron+
20153,354,30,Patron+
20984,421,25,Patron+
21189,1821,25,Patron+
29649,522,100,Patron+
33361,0,250,Patron+
45402,156,50,Patron+
49405,237,2000,Patron+
54821,1887,30,Patron+
54896,2558,1000,Patron+
55595,2305,100,Patron+
56385,1464,5000,Patron+
88234,5569,50,Patron+
91610,126,250,Patron+
91969,245,100,Patron+
92030,390,50,Patron+
92879,2348,100,Patron+
95150,103,50,Patron+
99173,506,25,Patron+
101857,40,50,Patron+
102132,59,25,Patron+
104345,191,100,Patron+
105879,144,100,Patron+
108721,5644,618,Patron+
108773,5158,36,Patron+
109023,0,1000,Patron+
109533,27,240,Patron+
115393,0,200,Patron+
119424,5378,25,Patron+
120544,47,250,Patron+
120615,441,100,Patron+
120626,46,50,Patron+
120813,113,75,Patron+
121312,49,500,Patron+
130055,901,250,Patron+
131872,18,100,Patron+
135314,97,250,Patron+
135615,2097,25,Patron+
136888,543,5000,Patron+
142408,7338,1000,Patron+
143653,245,50,Patron+
154010,3041,25,Patron+
155464,1761,500,Patron+
156130,85,50,Patron+
157947,5195,12500,Patron+
160840,158,125,Patron+
164397,1269,25,Patron+
168354,4194,1000,Patron+
174666,1192,50,Patron+
176161,0,1150,Patron+
178451,47,50,Patron+
179183,535,108,Patron+
180465,919,200,Patron+
182957,265,250,Patron+
184893,25,0,Patron+
184986,870,250,Patron+
185227,0,500,Patron+
193234,1644,4,Patron+
193444,732,250,Patron+
193540,270,500,Patron+
198150,9,1000,Patron+
198159,794,250,Patron+
200209,3597,250,Patron+
202837,208,1500,Patron+
203247,569,100,Patron+
206820,156,200,Patron+
216852,73,100,Patron+
220401,97,300,Patron+
221596,2401,20,Patron+
222987,1446,92,Patron+
224465,68,2500,Patron+
225757,1286,250,Patron+
226470,274,120,Patron+
230034,229,25,Patron+
230524,2459,250,Patron+
231415,1625,250,Patron+
232422,0,50,Patron+
234869,0,12,Patron+
239830,1674,50,Patron+
242835,1882,250,Patron+
243279,0,1200,Patron+
243405,0,150,Patron+
248896,1996,4,Patron+
250883,3379,250,Patron+
251253,0,4000,Patron+
252160,3086,100,Patron+
252240,2142,15,Patron+
500970,768,250,Patron+
2212589,3565,1000,Patron+
2213981,5049,100,Patron+
2216627,835,70,Patron+
2217115,2060,1500,Patron+
2225207,1499,6,Patron+
2225548,0,50000,Patron+
2235747,0,5000,Patron+
2239407,0,70,Patron+
2241186,3139,250,Patron+
2248156,0,1000,Patron+
2251927,880,5000,Patron+
2255196,5103,10000,Patron+
2257617,395,40,Patron+
2259492,1111,500,Patron+
2260936,327,250,Patron+
2261511,0,2000,Patron+
2263626,0,100,Patron+
3005163,4661,2500,Patron+
3005810,4210,5000,Patron+
3007029,88,9,Patron+
3010242,2923,5400,Patron+
3017554,0,100,Patron+
3018369,2174,240,Patron+
3019214,1247,100,Patron+
3020493,452,6000,Patron+
3022216,0,20000,Patron+
3026417,293,250,Patron+
3048880,0,4000,Patron+
3049591,3333,250,Patron+
3051583,3054,50,Patron+
3052947,437,3000,Patron+
3054007,1160,250,Patron+
3055225,0,5000,Patron+
3058788,2129,500,Patron+
3059286,0,100,Patron+
3062494,367,250,Patron+
3062638,1185,0,Patron+
3063350,3179,2500,Patron+
3064395,3001,5000,Patron+
3067885,486,2500,Patron+
3068108,359,250,Patron+
3068469,543,2000,Patron+
3070295,887,100,Patron+
3070452,2844,10,Patron+
3071565,729,50,Patron+
3071934,2525,294,Patron+
3072020,2897,1,Patron+
3073012,2790,5000,Patron+
3075180,0,100,Patron+
3076401,1569,500,Patron+
3076537,443,25,Patron+
3079744,603,100,Patron+
3079800,3405,2500,Patron+
3082442,0,50,Patron+
3082970,238,500,Patron+
3083304,1024,1553,Patron+
3083909,1914,2500,Patron+
3084692,1826,5000,Patron+
3084739,1760,5000,Patron+
3085700,1571,117,Patron+
3086736,2016,2948,Patron+
3086824,1825,9,Patron+
3088284,1335,38,Patron+
3088506,0,100,Patron+
3088704,1521,2500,Patron+
3094101,251,500,Patron+
3094596,0,2500,Patron+
3095059,4958,2500,Patron+
3095160,1310,2500,Patron+
3095216,5258,50,Patron+
3095224,801,100,Patron+
3098524,1534,5000,Patron+
3098759,1019,600,Patron+
3098836,12,1200,Patron+
3104199,0,1000,Patron+
