customer_no,Contribution_total_giving,Tickets___Total_Amount,Tickets_Number_of_Unique_Perfs,Donor_Category
1012,8216.5,31456.25,86,Patron+
1226,344111,54837,108,Patron+
1406,159026,30439.95,129,Patron+
1948,33485,14637.5,88,Patron+
2335,85683,35013.5,41,Patron+
2516,232067.5,41207.25,78,Patron+
2712,174350,86950,87,Patron+
2876,44575,26172,88,Patron+
2925,94175,26613.5,95,Patron+
3112,22921.5,18196,80,Patron+
3295,19750,15044,36,Patron+
3466,526315,50547.5,96,Patron+
4630,8670,9414.25,76,Patron+
5192,35704.6,44449.75,70,Patron+
7031,313650,86939.5,87,Patron+
7192,104607,22366.05,112,Patron+
7272,15239.5,33807.75,93,Patron+
9614,290976.8,31201,56,Patron+
10423,27198,21847,60,Patron+
10500,204879,50024.16,93,Patron+
12105,58281.82,24842.5,72,Patron+
13071,299996,8194,45,Patron+
13107,116800,47192.25,72,Patron+
13159,17500,19764,21,Patron+
13226,440965.22,57609,82,Patron+
13406,25131,31109.8,104,Patron+
18401,66688,20994.25,80,Patron+
20153,38530,15330.75,102,Patron+
20984,70870.5,20145.5,93,Patron+
21189,19380.09,43420.25,93,Patron+
29649,201844.2,63973.75,128,Patron+
33361,93100,4346.5,,Patron+
45402,116100,27577.5,98,Patron+
49405,2085791.73,69217.25,128,Patron+
54821,11820,2575,,Patron+
54896,186539.5,23963,8,Patron+
55595,4400,10198.85,69,Patron+
56385,85000,1536.5,21,Patron+
88234,10275,15008.5,57,Patron+
91610,22175.42,18261.5,93,Patron+
91969,20952.5,48691,86,Patron+
92030,23800,28572.5,38,Patron+
92879,6454.5,12599.5,56,Patron+
95150,50200.46,23355.75,85,Patron+
99173,14504,13615.75,104,Patron+
101857,42734,16371.5,83,Patron+
102132,17925,14056,61,Patron+
104345,308811.5,64841.1,126,Patron+
105879,33705,18870.5,84,Patron+
108721,56938,33076.5,39,Patron+
108773,20146,2476.5,11,Patron+
109023,36725,574,,Patron+
109533,238695,36867.6,52,Patron+
115393,421056.4,20163.5,107,Patron+
119424,50055,23709.75,19,Patron+
120544,42250,26816.15,71,Patron+
120615,125005.9,17523,123,Patron+
120626,104315,20297.5,83,Patron+
120813,347135,83051.25,87,Patron+
121312,179872.83,28014,38,Patron+
130055,15750,15306,1,Patron+
131872,406908.2,71730.5,82,Patron+
135314,342470,45468.5,114,Patron+
135615,95250.75,16930.75,76,Patron+
136888,301000,40855,2,Patron+
142408,37000,14407.5,24,Patron+
143653,61772,15516.5,94,Patron+
154010,25875,31111,89,Patron+
155464,88858,58934.25,34,Patron+
156130,219800,45446.25,84,Patron+
157947,202062.75,7934.15,4,Patron+
160840,21093.5,27415.5,87,Patron+
164397,19775,19568,52,Patron+
