customer_no,Affinity_Rating,Capacity_Rating,PROscore,Frequency,Monetary,Propensity_Rating,Donor_Category
1012,3,2,3,4,1,4,Patron
1226,4,2,3,4,4,4,Patron
1406,4,2,3,4,4,4,Patron
1948,4,1,3,4,1,4,Patron
2335,4,4,4,4,2,4,Patron
2516,4,3,4,4,4,4,Patron
2712,4,3,4,4,4,4,Patron
2876,1,2,2,4,1,2,Patron
2925,4,4,4,4,2,4,Patron
3112,4,1,3,2,1,4,Patron
3295,4,1,3,2,1,4,Patron
3466,4,3,4,4,4,4,Patron
4630,4,1,3,4,1,3,Patron
5192,4,4,4,4,1,4,Patron
7031,4,4,4,4,4,4,Patron
7192,4,2,3,4,3,4,Patron
7272,1,2,2,4,1,2,Patron
9614,4,3,4,4,4,4,Patron
10423,4,2,3,4,1,4,Patron
10500,4,1,3,4,2,4,Patron
12105,4,4,4,4,1,4,Patron
13071,4,4,4,4,4,4,Patron
13107,4,3,4,4,3,4,Patron
13159,4,2,3,1,1,4,Patron
13226,4,3,4,4,4,4,Patron
13406,4,3,4,4,1,4,Patron
18401,4,2,3,4,1,4,Patron
20153,4,1,3,4,1,4,Patron
20984,4,1,3,4,1,4,Patron
21189,3,2,3,4,1,4,Patron
29649,4,3,4,4,4,4,Patron
33361,,,,,,,Patron
45402,4,2,3,4,3,4,Patron
49405,4,4,4,4,4,4,Patron
54821,1,2,1,2,1,1,Patron
54896,4,3,4,2,2,4,Patron
55595,4,2,3,1,1,4,Patron
56385,4,2,3,2,2,4,Patron
88234,1,1,1,1,1,1,Patron
91610,4,4,4,4,1,4,Patron
91969,3,2,3,4,1,4,Patron
92030,4,1,3,2,1,4,Patron
92879,1,1,2,2,1,4,Patron
95150,4,4,4,4,1,4,Patron
99173,4,2,3,4,1,4,Patron
101857,4,3,4,4,1,4,Patron
102132,4,2,3,4,1,4,Patron
104345,4,3,4,4,4,4,Patron
105879,4,4,4,4,1,4,Patron
108721,4,2,3,2,2,4,Patron
108773,4,2,3,1,1,4,Patron
109023,4,4,4,4,1,4,Patron
109533,4,3,4,4,4,4,Patron
115393,4,3,4,4,4,4,Patron
119424,4,2,3,1,1,4,Patron
120544,4,2,3,4,1,4,Patron
120615,4,3,4,4,3,4,Patron
120626,4,1,3,4,4,4,Patron
120813,4,2,3,4,4,4,Patron
121312,4,4,4,4,3,4,Patron
130055,1,2,2,1,1,4,Patron
131872,4,3,4,4,4,4,Patron
135314,4,3,4,4,4,4,Patron
135615,4,2,3,4,2,4,Patron
136888,4,4,4,4,4,4,Patron
142408,,,,,,,Patron
143653,4,3,4,4,1,4,Patron
154010,4,3,4,2,1,4,Patron
155464,4,2,3,4,1,4,Patron
156130,4,2,3,4,4,4,Patron
157947,4,3,4,2,4,4,Patron
160840,1,3,2,4,1,1,Patron
164397,4,3,4,3,1,4,Patron
168354,4,4,4,3,2,4,Patron
174666,3,1,2,2,1,3,Patron
176161,4,4,4,4,4,4,Patron
178451,4,2,3,4,2,4,Patron
179183,4,1,3,2,1,4,Patron
180465,4,2,3,4,2,4,Patron
182957,4,2,3,4,4,4,Patron
184893,4,2,3,4,1,4,Patron
184986,4,3,4,4,4,4,Patron
185227,4,4,4,1,1,4,Patron
193234,1,1,2,3,1,3,Patron
193444,,,,,,,Patron
193540,4,2,3,3,1,4,Patron
198150,4,3,4,3,2,4,Patron
198159,4,2,3,,,4,Patron
200209,4,2,3,1,1,4,Patron
202837,4,4,4,4,1,4,Patron
203247,1,2,2,2,1,3,Patron
206820,1,2,1,1,1,1,Patron
216852,4,2,3,4,1,4,Patron
220401,4,3,4,4,4,4,Patron
221596,4,2,3,2,1,4,Patron
222987,3,1,3,2,1,4,Patron
224465,1,1,2,4,4,4,Patron
225757,4,2,3,1,1,4,Patron
226470,4,2,3,4,2,4,Patron
230034,1,2,1,3,1,1,Patron
230524,4,4,4,2,1,4,Patron
231415,4,2,3,4,2,4,Patron
232422,4,2,3,3,3,4,Patron
234869,4,2,3,4,4,4,Patron
239830,4,2,3,3,2,4,Patron
242835,4,2,3,1,1,4,Patron
243279,4,3,4,4,4,4,Patron
243405,4,3,4,4,4,4,Patron
248896,4,2,3,3,2,4,Patron
250883,4,1,3,2,1,4,Patron
251253,4,2,3,4,3,4,Patron
252160,4,1,3,2,1,4,Patron
252240,4,2,3,2,1,4,Patron
500970,3,2,3,1,1,4,Patron
2212589,4,3,4,2,2,4,Patron
2213233,1,4,3,1,1,4,Patron
2213981,4,4,4,1,1,4,Patron
2216627,3,2,3,2,1,4,Patron
2217115,1,2,2,4,2,4,Patron
2225207,4,3,4,4,4,4,Patron
2225548,,,,,,,Patron
2235747,4,2,3,2,2,4,Patron
2239407,4,2,3,2,1,4,Patron
2241186,4,2,3,3,1,4,Patron
2248156,4,4,4,4,4,4,Patron
2251927,1,4,2,4,4,1,Patron
2255196,1,3,3,1,1,4,Patron
2257617,4,4,4,3,1,4,Patron
2259492,4,2,3,2,1,4,Patron
