customer_no,Days Since Last Ticket Order,Days Since Last Gift,Days Since Last Activity Date,Contribution_Last_Amount,Contribution_last_year_giving,Days since Last Contribution,Donor_Category
1012,117.00,1113.41,41.25,4000,,1114.00,Patron+
1226,121.55,119.55,13.43,3077.5,40077.5,117.00,Patron+
1406,131.54,231.35,13.45,11000,11000,232.00,Patron+
1948,124.35,123.51,13.42,500,8000,124.00,Patron+
2335,106.00,816.31,13.43,5000,10000,98.00,Patron+
2516,1061.59,1370.32,327.38,5000,,1371.00,Patron+
2712,1169.00,1308.20,742.48,15000,,1309.00,Patron+
2876,120.00,49.35,14.55,5000,5000,50.00,Patron+
2925,118.00,35.34,0.32,10000,11750,36.00,Patron+
3112,74.00,35.34,7.35,5000,5000,36.00,Patron+
3295,104.00,34.36,12.34,5000,5000,35.00,Patron+
3466,120.00,90.40,13.43,25000,50000,91.00,Patron+
4630,109.59,357.31,14.55,5000,5000,358.00,Patron+
5192,106.00,5.35,5.34,4009,5000,6.00,Patron+
7031,102.00,928.57,13.43,10000,10000,15.00,Patron+
7192,1219.00,230.32,14.55,10000,12000,231.00,Patron+
7272,127.00,236.31,13.42,2500,2500,237.00,Patron+
9614,178.31,174.32,13.42,4000,14000,175.00,Patron+
10423,125.00,53.30,13.42,5000,5000,54.00,Patron+
10500,110.00,39.40,13.34,10000,44000,40.00,Patron+
12105,711.43,804.30,277.43,4980,,805.00,Patron+
13071,1201.61,21.38,13.43,50000,57500,22.00,Patron+
13107,431.00,306.33,13.42,10000,10000,307.00,Patron+
13159,74.00,551.30,13.45,5000,,552.00,Patron+
13226,78.39,158.30,13.45,30000,50000,159.00,Patron+
13406,81.00,437.33,13.42,2000,,438.00,Patron+
18401,81.00,518.30,13.42,10000,10000,141.00,Patron+
20153,126.00,221.28,13.42,6000,6000,222.00,Patron+
20984,137.00,369.29,13.42,10000,10000,98.00,Patron+
21189,75.00,73.41,10.36,5000,5000,74.00,Patron+
29649,90.61,490.33,0.40,10000,,491.00,Patron+
33361,94.21,35.32,13.43,1000,77750,36.00,Patron+
45402,477.00,332.34,0.40,5000,5000,333.00,Patron+
49405,139.00,221.28,13.43,5000,5000,222.00,Patron+
54821,88.49,1253.40,88.49,3000,,1254.00,Patron+
54896,124.35,286.37,13.43,7500,7500,287.00,Patron+
55595,578.34,1200.22,41.25,2500,,1201.00,Patron+
56385,313.31,19.37,13.44,5000,5000,20.00,Patron+
88234,82.00,180.32,14.55,2500,2500,181.00,Patron+
91610,711.43,976.36,327.38,8525.42,,977.00,Patron+
91969,81.00,5.35,5.35,1000,1000,6.00,Patron+
92030,217.56,67.59,28.20,3000,3000,68.00,Patron+
92879,717.35,973.33,297.50,2500,,974.00,Patron+
95150,105.00,402.36,13.44,177.76,,403.00,Patron+
99173,107.28,776.31,13.43,5000,,777.00,Patron+
101857,138.00,122.52,13.42,1250,6250,62.00,Patron+
102132,712.33,299.35,299.35,1000,1000,300.00,Patron+
104345,89.00,313.44,4.61,2000,,505.00,Patron+
105879,137.25,2926.49,13.45,5000,5000,327.00,Patron+
108721,130.00,601.30,4.33,10000,10000,229.00,Patron+
108773,312.61,292.30,14.55,5000,5000,293.00,Patron+
109023,313.39,307.32,13.43,10000,21500,13.00,Patron+
109533,82.00,76.35,10.35,5000,57000,77.00,Patron+
115393,125.00,138.34,13.44,26621.05,26621.05,161.00,Patron+
119424,106.00,521.28,0.33,5000,5000,162.00,Patron+
120544,313.28,38.33,13.42,5000,5000,39.00,Patron+
120615,120.00,280.28,13.42,2000,2000,281.00,Patron+
120626,111.42,144.32,4.46,10000,10000,145.00,Patron+
120813,88.00,4.30,3.49,25000,25000,5.00,Patron+
121312,88.00,87.37,13.45,33294.23,35372.83,88.00,Patron+
130055,98.00,96.36,13.45,5000,5000,97.00,Patron+
131872,111.00,41.32,13.42,10000,20000,42.00,Patron+
135314,120.00,96.42,13.43,350,13850,97.00,Patron+
135615,119.00,468.31,13.42,10000,10000,118.00,Patron+
136888,97.00,154.32,13.43,10000,10000,155.00,Patron+
142408,111.00,252.61,13.43,10000,,431.00,Patron+
143653,138.35,160.31,14.55,10000,10000,161.00,Patron+
154010,112.00,497.32,13.44,5000,5000,112.00,Patron+
155464,91.00,91.34,13.42,10000,10000,92.00,Patron+
156130,82.00,138.34,12.38,50000,50000,139.00,Patron+
157947,92.54,229.32,13.43,25000,25000,230.00,Patron+
160840,112.23,69.03,13.45,5000,5000,70.00,Patron+
164397,112.00,692.30,28.20,5000,,693.00,Patron+
168354,138.32,84.32,13.43,25000,39000,85.00,Patron+
174666,85.00,231.32,13.42,2500,2500,232.00,Patron+
176161,312.62,6243.36,13.42,5000,5000,181.00,Patron+
178451,105.00,104.40,14.55,5000,10000,105.00,Patron+
179183,75.00,53.30,14.55,5000,5031.16,54.00,Patron+
180465,111.00,35.34,13.42,10000,10010,20.00,Patron+
182957,98.00,227.32,13.42,25000,25500,228.00,Patron+
184893,120.00,284.37,13.45,10000,10000,285.00,Patron+
184986,137.00,231.37,13.43,2000,29000,232.00,Patron+
185227,70.36,33.58,5.33,5000,10000,34.00,Patron+
193234,111.00,518.30,13.42,5000,5000,111.00,Patron+
193444,117.52,111.35,13.43,5000,5000,112.00,Patron+
193540,103.00,374.63,13.42,2500,,375.00,Patron+
198150,203.48,238.29,13.43,8821.73,8821.73,239.00,Patron+
