customer_no,num_stb_last_5_years,num_yrs_donor,num_yrs_sub,num_yrs_stb,Donor_Category
1088,0,16,17,9,Under-Patron
1093,0,13,11,10,Under-Patron
1250,2,18,22,15,Under-Patron
1320,9,20,22,19,Under-Patron
1391,4,18,22,13,Under-Patron
1400,3,3,6,6,Under-Patron
1548,4,19,22,19,Under-Patron
1621,2,21,21,8,Under-Patron
1643,12,2,9,14,Under-Patron
1743,0,20,1,8,Under-Patron
1755,0,18,17,16,Under-Patron
1925,3,15,22,15,Under-Patron
1940,3,20,22,19,Under-Patron
2024,2,15,16,15,Under-Patron
2037,6,15,22,21,Under-Patron
2098,5,15,22,17,Under-Patron
2104,2,14,4,14,Under-Patron
2192,7,18,21,18,Under-Patron
2202,0,13,18,11,Under-Patron
2334,2,21,22,14,Under-Patron
2438,10,18,22,20,Under-Patron
2547,0,4,0,7,Under-Patron
2568,6,15,17,20,Under-Patron
2575,7,14,17,13,Under-Patron
2586,0,19,6,3,Under-Patron
2631,2,6,18,11,Under-Patron
2645,1,9,0,12,Under-Patron
2667,0,17,4,10,Under-Patron
2689,0,21,22,12,Under-Patron
2722,7,20,22,15,Under-Patron
2832,12,16,22,18,Under-Patron
2899,0,16,0,2,Under-Patron
2928,6,20,21,16,Under-Patron
2944,7,19,22,15,Under-Patron
2973,0,6,16,10,Under-Patron
2999,6,4,13,10,Under-Patron
3066,0,7,15,11,Under-Patron
3112,2,15,22,12,Under-Patron
3171,0,3,7,4,Under-Patron
3236,0,2,0,1,Under-Patron
3265,0,20,5,12,Under-Patron
3295,8,9,15,14,Under-Patron
3335,0,7,0,2,Under-Patron
3432,5,2,0,3,Under-Patron
3522,0,18,18,13,Under-Patron
3654,1,16,20,16,Under-Patron
3806,0,18,19,17,Under-Patron
3807,1,21,20,17,Under-Patron
3905,10,12,22,20,Under-Patron
3923,2,13,20,16,Under-Patron
4057,8,6,0,16,Under-Patron
4245,8,21,8,14,Under-Patron
4278,3,18,22,17,Under-Patron
4406,0,15,16,15,Under-Patron
4413,4,14,22,12,Under-Patron
4438,0,19,0,6,Under-Patron
4657,5,15,19,20,Under-Patron
4857,0,16,18,16,Under-Patron
4864,8,22,18,16,Under-Patron
4875,0,13,0,4,Under-Patron
5148,18,17,20,20,Under-Patron
5168,2,8,15,13,Under-Patron
5192,2,18,19,12,Under-Patron
5278,2,5,0,9,Under-Patron
5558,6,20,21,18,Under-Patron
5759,0,9,0,3,Under-Patron
7039,0,15,17,16,Under-Patron
7068,0,22,22,5,Under-Patron
7081,4,19,22,19,Under-Patron
7136,15,1,7,17,Under-Patron
7137,3,17,22,17,Under-Patron
7197,10,21,22,20,Under-Patron
7272,10,16,22,21,Under-Patron
7287,0,8,18,13,Under-Patron
7634,10,1,21,21,Under-Patron
8810,1,2,19,13,Under-Patron
10117,0,2,3,4,Under-Patron
10238,10,11,22,19,Under-Patron
10309,0,4,17,16,Under-Patron
10325,5,3,6,11,Under-Patron
10465,0,6,0,5,Under-Patron
10507,6,22,22,20,Under-Patron
10555,0,16,2,5,Under-Patron
10584,0,17,18,12,Under-Patron
10640,0,9,11,2,Under-Patron
10834,0,20,19,8,Under-Patron
10836,7,22,22,21,Under-Patron
10845,3,14,22,14,Under-Patron
10877,1,3,22,17,Under-Patron
10959,3,9,21,18,Under-Patron
10989,0,12,1,11,Under-Patron
10999,12,21,22,23,Under-Patron
11010,2,19,22,21,Under-Patron
11017,3,5,19,14,Under-Patron
11245,13,19,21,21,Under-Patron
11273,15,15,22,21,Under-Patron
11304,9,3,21,19,Under-Patron
11559,17,22,22,22,Under-Patron
11573,1,9,14,6,Under-Patron
11576,0,11,15,11,Under-Patron
11684,1,8,4,7,Under-Patron
11724,1,5,4,3,Under-Patron
11750,12,10,18,13,Under-Patron
11800,11,22,22,21,Under-Patron
11860,2,12,22,14,Under-Patron
11872,5,20,21,19,Under-Patron
12105,0,12,14,14,Under-Patron
12108,13,20,21,14,Under-Patron
12368,5,17,22,19,Under-Patron
12405,4,18,22,18,Under-Patron
12428,8,21,22,21,Under-Patron
12434,10,19,22,21,Under-Patron
12451,11,9,22,18,Under-Patron
12731,7,12,20,19,Under-Patron
12750,4,19,20,18,Under-Patron
12754,1,15,22,17,Under-Patron
12772,0,18,18,13,Under-Patron
12808,2,16,0,17,Under-Patron
12898,0,1,16,14,Under-Patron
12933,1,11,22,19,Under-Patron
12964,3,14,22,8,Under-Patron
13093,2,1,0,4,Under-Patron
13124,12,5,18,17,Under-Patron
13181,2,18,17,18,Under-Patron
13399,2,19,21,16,Under-Patron
13406,3,21,22,18,Under-Patron
13449,20,22,22,21,Under-Patron
14505,5,6,22,18,Under-Patron
15361,5,5,22,19,Under-Patron
16132,0,7,3,3,Under-Patron
16194,0,14,0,7,Under-Patron
16744,17,7,20,21,Under-Patron
17089,4,1,22,20,Under-Patron
19034,0,1,0,8,Under-Patron
19036,2,21,21,18,Under-Patron
20134,8,6,21,20,Under-Patron
20170,3,8,0,19,Under-Patron
20275,12,22,22,18,Under-Patron
20354,4,1,19,15,Under-Patron
20452,7,5,11,9,Under-Patron
20502,1,20,17,13,Under-Patron
20696,0,16,22,15,Under-Patron
20830,2,10,21,13,Under-Patron
20877,5,6,21,18,Under-Patron
21080,0,1,3,3,Under-Patron
21155,0,2,18,17,Under-Patron
21189,10,12,22,20,Under-Patron
21562,0,18,18,3,Under-Patron
21615,14,5,8,6,Under-Patron
22296,11,18,21,21,Under-Patron
22669,8,17,22,19,Under-Patron
23699,7,21,22,18,Under-Patron
23867,1,19,3,11,Under-Patron
23897,7,14,16,14,Under-Patron
25623,5,1,21,9,Under-Patron
27171,7,19,22,20,Under-Patron
27187,2,6,22,15,Under-Patron
27541,10,17,21,17,Under-Patron
27615,0,18,16,10,Under-Patron
27812,0,5,3,4,Under-Patron
27827,1,6,11,12,Under-Patron
28148,14,20,22,21,Under-Patron
28162,2,15,17,18,Under-Patron
30006,6,5,0,19,Under-Patron
30018,7,15,22,19,Under-Patron
30099,1,9,11,8,Under-Patron
30614,2,6,22,17,Under-Patron
31993,0,6,14,6,Under-Patron
33830,13,21,22,21,Under-Patron
34091,0,13,11,9,Under-Patron
34109,0,9,10,12,Under-Patron
34366,6,22,22,21,Under-Patron
37043,0,13,22,12,Under-Patron
37083,1,14,18,17,Under-Patron
37581,4,2,6,9,Under-Patron
37885,4,13,18,17,Under-Patron
38385,0,2,0,5,Under-Patron
39646,1,5,15,8,Under-Patron
39847,8,19,18,15,Under-Patron
40933,9,2,1,6,Under-Patron
41564,13,6,22,19,Under-Patron
43017,24,21,22,21,Under-Patron
45651,7,10,22,18,Under-Patron
45669,0,13,18,16,Under-Patron
45715,0,17,13,13,Under-Patron
45852,11,1,0,1,Under-Patron
45860,2,16,16,16,Under-Patron
45974,14,9,20,18,Under-Patron
47778,1,8,0,1,Under-Patron
47992,7,15,13,11,Under-Patron
47993,8,8,20,20,Under-Patron
48680,4,1,0,4,Under-Patron
48926,9,4,20,21,Under-Patron
49063,0,2,1,3,Under-Patron
49208,24,11,21,20,Under-Patron
49465,0,2,4,9,Under-Patron
49480,2,19,18,17,Under-Patron
50109,3,11,4,11,Under-Patron
50581,1,10,7,9,Under-Patron
50584,7,20,20,20,Under-Patron
50904,1,7,18,13,Under-Patron
51316,0,22,22,13,Under-Patron
53189,0,1,5,9,Under-Patron
54641,1,2,15,10,Under-Patron
54750,9,17,18,18,Under-Patron
54905,7,13,21,18,Under-Patron
54958,3,6,19,16,Under-Patron
55055,0,19,13,13,Under-Patron
55116,5,20,22,20,Under-Patron
55151,7,10,16,16,Under-Patron
55834,8,4,21,18,Under-Patron
55983,9,13,20,15,Under-Patron
56573,11,10,21,19,Under-Patron
56714,0,7,10,2,Under-Patron
56984,10,20,22,21,Under-Patron
57014,9,4,1,13,Under-Patron
57722,0,17,0,5,Under-Patron
58277,14,11,22,21,Under-Patron
60747,4,8,16,16,Under-Patron
61431,9,10,22,21,Under-Patron
61478,2,15,21,12,Under-Patron
62638,0,13,9,15,Under-Patron
70582,0,14,2,5,Under-Patron
77610,1,16,0,1,Under-Patron
80423,0,1,2,2,Under-Patron
80478,2,2,0,11,Under-Patron
80937,3,3,1,9,Under-Patron
81294,8,4,6,4,Under-Patron
82419,0,2,3,5,Under-Patron
83047,0,1,2,9,Under-Patron
83193,0,18,11,8,Under-Patron
83194,1,1,1,6,Under-Patron
83204,14,6,22,18,Under-Patron
83439,5,5,7,11,Under-Patron
83575,3,21,21,15,Under-Patron
83790,10,2,2,13,Under-Patron
83844,2,11,19,13,Under-Patron
86429,0,17,18,15,Under-Patron
87007,12,22,21,22,Under-Patron
87950,3,20,18,16,Under-Patron
87964,7,11,18,18,Under-Patron
88234,3,4,19,9,Under-Patron
88718,3,7,13,11,Under-Patron
89461,2,3,1,8,Under-Patron
89495,1,3,10,4,Under-Patron
90088,8,3,0,20,Under-Patron
90348,3,14,22,18,Under-Patron
90646,3,2,0,8,Under-Patron
90661,2,2,6,7,Under-Patron
90717,5,3,21,18,Under-Patron
91311,0,3,12,4,Under-Patron
91430,15,19,11,17,Under-Patron
91529,7,3,0,4,Under-Patron
91586,7,18,20,19,Under-Patron
91610,2,20,20,13,Under-Patron
91642,4,2,4,15,Under-Patron
92030,13,15,14,15,Under-Patron
92614,19,11,14,13,Under-Patron
92728,0,9,12,9,Under-Patron
92746,0,1,0,3,Under-Patron
92756,3,2,22,17,Under-Patron
93234,3,13,1,16,Under-Patron
93593,5,5,22,16,Under-Patron
93877,14,8,18,18,Under-Patron
94217,5,2,10,14,Under-Patron
94493,22,21,22,22,Under-Patron
94603,3,18,22,14,Under-Patron
94980,4,10,22,20,Under-Patron
95677,8,21,7,18,Under-Patron
95977,6,3,4,12,Under-Patron
96203,0,21,21,14,Under-Patron
96363,7,4,6,12,Under-Patron
96410,0,15,17,7,Under-Patron
96596,4,1,0,7,Under-Patron
97165,1,19,22,17,Under-Patron
97298,6,8,10,17,Under-Patron
97341,4,12,17,17,Under-Patron
97406,16,22,19,21,Under-Patron
97590,3,16,19,18,Under-Patron
